path,selected_client,selected_server,dsym_852_client,dsym_852_server,dsym_841_client,dsym_841_server
game/server/portal2/npc_wheatley_boss.cpp,0,1,0,0,0,0
game/server/portal2/paint_bot_temp.cpp,0,1,0,1,0,1
game/server/portal2/paint_database.cpp,0,1,0,1,0,1
game/server/portal2/paint_sphere.cpp,0,1,0,0,0,0
game/server/portal2/paint_sprayer.cpp,0,1,0,1,0,1
game/server/portal2/paint_stream.cpp,0,1,0,0,0,1
game/server/portal2/paint_swap_guns.cpp,0,1,0,1,0,1
game/server/portal2/point_changelevel.cpp,0,1,0,1,0,1
game/server/portal2/point_futbol_shooter.cpp,0,1,0,0,0,1
game/server/portal2/point_laser_target.cpp,0,1,0,1,0,1
game/server/portal2/pointsurvey.cpp,0,1,0,1,0,1
game/server/portal2/portal2_research_data_tracker.cpp,0,1,0,0,0,0
game/server/portal2/portal_mp_stats.cpp,0,1,0,0,0,0
game/server/portal2/portal_playerlocaldata.cpp,0,1,0,1,0,1
game/server/portal2/portal_pointpush.cpp,0,1,0,1,0,1
game/server/portal2/portal_procedural_generator.cpp,0,1,0,0,0,0
game/server/portal2/portal_race_checkpoint.cpp,0,1,0,1,0,1
game/server/portal2/portal_ui_controller.cpp,0,1,0,0,0,0
game/server/portal2/projected_entity_ambient_sound_proxy.cpp,0,1,0,0,0,0
game/server/portal2/projectedwallentity.cpp,0,1,0,1,0,1
game/server/portal2/prop_exploding_futbol.cpp,0,1,0,1,0,1
game/server/portal2/prop_hot_potato.cpp,0,1,0,0,0,0
game/server/portal2/prop_monster_box.cpp,0,1,0,0,0,0
game/server/portal2/prop_paint_bomb.cpp,0,1,0,1,0,1
game/server/portal2/prop_personality_sphere.cpp,0,1,0,1,0,1
game/server/portal2/prop_physics_paintable.cpp,0,1,0,1,0,1
game/server/portal2/prop_rockettripwire.cpp,0,1,0,1,0,1
game/server/portal2/prop_tractorbeam.cpp,0,1,0,1,0,1
game/server/portal2/propglassfutbol.cpp,0,1,0,1,0,1
game/server/portal2/propwallprojector.cpp,0,1,0,1,0,1
